TP,FP,FN,TN,IoU,Precision,Recall,F1,Positive_Ratio_%,Area_Group,Sample
419,240,100,15625,0.5520421607378129,0.6358118361153262,0.8073217726396917,0.7113752122241087,3.167724609375,3-5%,image_272.h5
0,283,0,16101,0.0,0.0,0.0,0.0,0.0,0-1%,image_273.h5
0,5,55,16324,0.0,0.0,0.0,0.0,0.335693359375,0-1%,image_274.h5
0,0,95,16289,0.0,0.0,0.0,0.0,0.579833984375,0-1%,image_275.h5
14,1,29,16340,0.3181818181818182,0.9333333333333333,0.32558139534883723,0.4827586206896552,0.262451171875,0-1%,image_276.h5
8,11,78,16287,0.08247422680412371,0.42105263157894735,0.09302325581395349,0.1523809523809524,0.52490234375,0-1%,image_277.h5
12,27,69,16276,0.1111111111111111,0.3076923076923077,0.14814814814814814,0.2,0.494384765625,0-1%,image_278.h5
0,0,4,16380,0.0,0.0,0.0,0.0,0.0244140625,0-1%,image_279.h5
244,429,262,15449,0.2609625668449198,0.362555720653789,0.48221343873517786,0.41391009329940626,3.08837890625,3-5%,image_28.h5
0,0,17,16367,0.0,0.0,0.0,0.0,0.103759765625,0-1%,image_280.h5
0,0,52,16332,0.0,0.0,0.0,0.0,0.3173828125,0-1%,image_281.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_282.h5
205,172,47,15960,0.4834905660377358,0.5437665782493368,0.8134920634920635,0.6518282988871225,1.5380859375,1-3%,image_283.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_284.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_285.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_286.h5
670,177,232,15305,0.6209453197405005,0.7910271546635183,0.7427937915742794,0.7661520869068039,5.50537109375,>5%,image_287.h5
0,1268,0,15116,0.0,0.0,0.0,0.0,0.0,0-1%,image_288.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_289.h5
0,164,56,16164,0.0,0.0,0.0,0.0,0.341796875,0-1%,image_29.h5
5,33,193,16153,0.021645021645021644,0.13157894736842105,0.025252525252525252,0.0423728813559322,1.20849609375,1-3%,image_290.h5
78,8,80,16218,0.46987951807228917,0.9069767441860465,0.4936708860759494,0.639344262295082,0.96435546875,0-1%,image_291.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_292.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_293.h5
6,0,293,16085,0.020066889632107024,1.0,0.020066889632107024,0.03934426229508197,1.824951171875,1-3%,image_294.h5
0,32,23,16329,0.0,0.0,0.0,0.0,0.140380859375,0-1%,image_295.h5
0,0,22,16362,0.0,0.0,0.0,0.0,0.13427734375,0-1%,image_296.h5
0,0,27,16357,0.0,0.0,0.0,0.0,0.164794921875,0-1%,image_297.h5
8,0,63,16313,0.11267605633802817,1.0,0.11267605633802817,0.20253164556962025,0.433349609375,0-1%,image_298.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_299.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_3.h5
16,111,38,16219,0.09696969696969697,0.12598425196850394,0.2962962962962963,0.17679558011049723,0.32958984375,0-1%,image_30.h5
0,0,43,16341,0.0,0.0,0.0,0.0,0.262451171875,0-1%,image_300.h5
138,72,349,15825,0.24686940966010734,0.6571428571428571,0.28336755646817247,0.39598278335724535,2.972412109375,1-3%,image_301.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_302.h5
0,0,81,16303,0.0,0.0,0.0,0.0,0.494384765625,0-1%,image_303.h5
185,39,36,16124,0.7115384615384616,0.8258928571428571,0.8371040723981901,0.8314606741573034,1.348876953125,1-3%,image_304.h5
0,137,0,16247,0.0,0.0,0.0,0.0,0.0,0-1%,image_305.h5
419,151,11,15803,0.7211703958691911,0.7350877192982456,0.9744186046511628,0.838,2.62451171875,1-3%,image_306.h5
421,156,140,15667,0.5871687587168759,0.729636048526863,0.750445632798574,0.7398945518453427,3.424072265625,3-5%,image_307.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_308.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_309.h5
0,0,1844,14540,0.0,0.0,0.0,0.0,11.2548828125,>5%,image_31.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_310.h5
661,428,62,15233,0.5742832319721981,0.6069788797061524,0.9142461964038727,0.7295805739514348,4.412841796875,3-5%,image_311.h5
0,0,42,16342,0.0,0.0,0.0,0.0,0.25634765625,0-1%,image_312.h5
5,0,1654,14725,0.0030138637733574444,1.0,0.0030138637733574444,0.006009615384615385,10.125732421875,>5%,image_313.h5
0,0,90,16294,0.0,0.0,0.0,0.0,0.54931640625,0-1%,image_314.h5
8,0,936,15440,0.00847457627118644,1.0,0.00847457627118644,0.01680672268907563,5.76171875,>5%,image_315.h5
538,141,77,15628,0.7116402116402116,0.792341678939617,0.8747967479674796,0.8315301391035549,3.753662109375,3-5%,image_316.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_317.h5
0,0,31,16353,0.0,0.0,0.0,0.0,0.189208984375,0-1%,image_318.h5
51,10,128,16195,0.2698412698412698,0.8360655737704918,0.2849162011173184,0.425,1.092529296875,1-3%,image_319.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_32.h5
46,20,149,16169,0.21395348837209302,0.696969696969697,0.2358974358974359,0.3524904214559387,1.190185546875,1-3%,image_320.h5
0,0,1,16383,0.0,0.0,0.0,0.0,0.006103515625,0-1%,image_321.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_322.h5
167,12,164,16041,0.4868804664723032,0.9329608938547486,0.5045317220543807,0.6549019607843137,2.020263671875,1-3%,image_323.h5
128,777,348,15131,0.10215482841181166,0.1414364640883978,0.2689075630252101,0.18537291817523532,2.9052734375,1-3%,image_324.h5
47,2048,38,14251,0.02203469292076887,0.02243436754176611,0.5529411764705883,0.043119266055045874,0.518798828125,0-1%,image_325.h5
0,4,0,16380,0.0,0.0,0.0,0.0,0.0,0-1%,image_326.h5
0,396,17,15971,0.0,0.0,0.0,0.0,0.103759765625,0-1%,image_327.h5
0,0,94,16290,0.0,0.0,0.0,0.0,0.57373046875,0-1%,image_328.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_329.h5
157,49,32,16146,0.6596638655462185,0.7621359223300971,0.8306878306878307,0.7949367088607595,1.153564453125,1-3%,image_33.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_330.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_331.h5
0,29,11538,4817,0.0,0.0,0.0,0.0,70.42236328125,>5%,image_332.h5
112,6,65,16201,0.6120218579234973,0.9491525423728814,0.632768361581921,0.7593220338983051,1.080322265625,1-3%,image_333.h5
152,63,212,15957,0.3559718969555035,0.7069767441860465,0.4175824175824176,0.5250431778929189,2.2216796875,1-3%,image_334.h5
0,24,119,16241,0.0,0.0,0.0,0.0,0.726318359375,0-1%,image_335.h5
1339,660,1880,12505,0.3451920598092292,0.6698349174587294,0.4159676918297608,0.5132234572633193,19.647216796875,>5%,image_336.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_337.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_338.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_339.h5
101,27,269,15987,0.25440806045340053,0.7890625,0.27297297297297296,0.40562248995983935,2.25830078125,1-3%,image_34.h5
0,0,20,16364,0.0,0.0,0.0,0.0,0.1220703125,0-1%,image_340.h5
0,0,210,16174,0.0,0.0,0.0,0.0,1.28173828125,1-3%,image_341.h5
337,37,123,15887,0.6780684104627767,0.9010695187165776,0.7326086956521739,0.8081534772182254,2.8076171875,1-3%,image_342.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_343.h5
4,0,281,16099,0.014035087719298246,1.0,0.014035087719298246,0.02768166089965398,1.739501953125,1-3%,image_344.h5
0,0,43,16341,0.0,0.0,0.0,0.0,0.262451171875,0-1%,image_345.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_346.h5
25,6,66,16287,0.25773195876288657,0.8064516129032258,0.27472527472527475,0.4098360655737705,0.555419921875,0-1%,image_347.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_348.h5
